Symbol,BXD1,BXD2,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD16,BXD18,BXD19,BXD23,BXD27,BXD28,BXD29,BXD31,BXD33,BXD36,BXD40,BXD42
0610012G03Rik,10.92994757,10.74862474,10.87768261,11.08637875,10.85940251,11.11202741,11.00235381,10.74381658,10.76133985,10.85343846,10.81146985,10.25954326,10.84457395,10.84529411,10.91360007,10.85262287,11.17024881,10.479296465000001,10.90979388,11.06529534,10.55247238
0610016J10Rik,7.1710216529999995,7.078549116333334,6.879715515666667,6.936962847666667,6.894394437666667,7.125924792666666,7.157853983666667,7.176957464333334,6.939790768000001,6.983027984333333,7.055654450666666,6.958618535333334,7.007710561666667,7.131814092333333,7.076760631333333,6.966970273666667,7.069667356,7.098228260833334,7.004360153333333,6.985113764333334,6.9031344416666665
0610025L06Rik,8.454904005,8.904726675,9.153389041,8.488427268,9.003271696,9.197816672,8.969361434,8.959773201,8.490764292,9.307970165,9.041537165,9.442362192,9.026301903,9.002398674,8.766131174,8.768425726,8.96173787,9.119661315,9.310932913,9.264797323,9.42898919
0610025P10Rik,7.9674543215,7.8862824365,8.300161089,7.6499432255,7.983812756,7.3629273515,7.826415642000001,7.8948326699999996,7.5935414775000005,7.7156107055,8.026464047,7.5833653485,7.8208729825,8.090522724,7.902312109,7.6471012384999995,7.6820966485,7.9775796027500006,7.920267744,7.526415337,7.417585044
0610027O18Rik,8.783845147,8.62775593,9.29905237,8.594623587,8.813674904,8.570376266,8.757560786,8.767310325,8.657404675,9.053888806,8.852708887,9.10783525,8.666300073,8.769927583,8.495105547,8.662038136,8.624960626,8.783485743,9.196163766,8.86748605,9.224825942
0610030E20Rik,8.782357834333334,9.090066766666666,8.954015403,9.238151298666667,8.915077384,9.353752739666668,8.760284233333334,8.677981972333333,9.309024828333333,8.876077559,8.950430760666668,9.237232237333332,9.163229775333333,8.861188113666666,9.055377305999999,9.319584998,9.371230821333333,8.972769077,9.302963373999999,9.309003640999999,9.418709122666668
0610030H11Rik,8.452611444,8.498731391,9.063873185,8.314026461,8.685384445,7.984606617,8.367659029,8.640768989,8.143436733,8.269591777,8.653074958,8.633487895,8.3186895,8.387407489,8.30210518,7.982021045,7.951359193,8.313482228,8.436344636,8.094046846,8.309851858
0610031J06Rik,9.8917666235,9.625122311,10.039397983,9.871858722,9.935008338,9.4951136535,10.026474995000001,10.026132861499999,9.9369240065,9.8307638755,9.956889518499999,9.770758925500001,9.9717323315,9.871633874,9.847666025999999,10.030694062999999,9.902170394999999,9.91185879975,10.069280644500001,9.8534884925,9.672196147000001
0610033H09Rik,11.70651715,11.57335274,12.05692506,11.50918645,11.48177529,11.66716389,11.48684738,11.5665297,11.29953822,11.55546438,11.48316379,11.81490635,11.79742004,11.43871945,11.4892709,11.79467941,12.04036455,11.70609051,11.4139652,11.37456688,11.22323175
0610033I05Rik,11.0503232,10.83941313,10.97098541,10.87687621,10.9776952,10.93473371,10.95580668,11.17831937,11.03995077,10.92536055,11.11391393,11.27560666,11.23304519,10.97348019,11.14689707,10.62793247,10.86092106,11.290610730000001,11.13355064,11.11997951,11.2786382
0610034P02Rik,7.746784825,7.517890932,8.035043194,7.792666692,7.714445443,7.218188053,7.640679129,7.742957979,7.529828129,7.333804326,7.759774699,7.060590559,7.742728453,7.710844277,7.71516761,7.73222478,7.488987242,7.660027824,7.488987242,7.582184412,7.153023409
0610037B23Rik,6.903640518,6.915426695,6.706485331,6.772141896,6.695667865,7.032133848,6.783414294,6.705786208,6.856585928,7.08405592,6.681328346,7.26157635,6.875057608,6.832631555,6.865217496,6.650484122,6.904161908,6.688956156,6.91266581,7.069889184,6.793042521
0610037D15Rik,8.11353341,7.969151389,8.379403026,7.953575236,8.286151837,7.629702965,8.260932891,8.287603229,8.11061343,7.974060753,8.289804709,7.874386585,8.236249362,8.21685729,8.194071772,8.159807026,7.957962376,8.268250270500001,8.081886917,7.870090496,7.541919796
0610037H22Rik,7.176886629666666,7.136074509666667,6.979251466333333,6.840493010333333,6.946817999,6.919070020666666,7.020493713333333,6.9050817423333335,6.8489392376666665,6.841600401,6.806112948333333,6.816056841000001,6.935885002666666,6.911459959333333,6.968405897333334,6.790058300999999,6.940917316,6.840919793,6.8166374066666675,6.874948754666666,6.7699598640000005
0610037L13Rik,9.4502758145,9.285455332,9.495630385,9.288592835500001,9.346141807999999,9.147478284,9.3520112445,9.4385168185,9.426083739500001,9.277941717000001,9.439209529,9.297458476,9.3670025765,9.302839634000001,9.541920844,9.4088666365,9.768479703499999,9.21647944725,9.5100653925,9.364287556,9.320144227
0610037M15Rik,10.09745831,9.025857528,9.17527557,9.228729833,9.549331154,9.872425698,10.51177137,9.505350145,9.481242998,10.33072353,10.0962543,9.791344612,9.182550151,10.50828991,10.36782455,9.665621402,10.45790825,10.2432740005,10.00754157,9.891164131,9.469921481
0610038D11Rik,9.203531769,8.9599187805,9.273916509,9.183926937999999,9.117908400000001,8.964026832,9.6642017125,9.3046452765,9.207249717,9.393943765500001,9.4359746795,9.1296172765,9.3087617035,9.4110052965,9.418679797,9.510093219,9.3521435185,9.366168289250002,9.3700679555,9.43409598,9.1408216795
0610038F07Rik,9.128299842,9.247274229,9.028404072,8.934515127,9.17527557,9.406736484,9.183898652,8.970618304,8.853883348,9.492347655,9.096447392,9.545111183,9.063487754,8.996578194,9.310932913,8.826677568,9.011385165,9.316262975499999,8.999059697,9.239857244,9.323584853
0610039A15Rik,9.125419959,8.512410089,8.8978948015,8.652002175,8.6328021825,8.5172046345,9.1077403705,9.254842504500001,8.747261707,8.767673996,8.9734176025,8.6570782345,8.969583425,9.079396321,8.923897016,9.0216250435,9.0532402855,8.91897521475,8.986925656,8.6853017235,8.646902567000001
0610039D01Rik,10.53943435,10.32947998,10.78661884,11.08901211,10.78260392,10.64021739,10.77614352,10.7802383,10.99578263,10.95492274,10.95957995,10.38565339,10.82390789,10.56681444,11.0306935,11.20745233,11.47189428,10.53670068,11.06442357,10.97673454,10.37659074
0610039G24Rik,7.227616971,7.014114343,6.893580799,6.918493104,6.799252336,6.932680192,7.07321792,7.094780541,7.198282919,6.863963637,7.142245178,6.873523493,7.145678647,7.085186295,7.066854021,7.019991608,7.19842459,7.0947631155,6.983912585,6.812293552,6.639545533
0610039J04Rik,7.4126893765,7.337402320500001,7.407029945,7.377703225,7.3918639625,7.070340844,7.259517968999999,7.3467807385,7.287009217,7.126946247999999,7.356293229,7.074986382500001,7.4034119364999995,7.3678917755,7.305535518499999,7.412586322499999,7.1350972615,7.33861181925,7.3344310974999996,7.3096414375,6.972055169
0610039K22Rik,10.70981613,10.40824114,10.56748526,9.664052627,9.847260882,9.29735396,10.50022537,10.29365945,9.83199707,10.16163449,10.2453129,10.01922131,9.898315979,9.890057782,9.892611302,9.926811972,9.60009291,9.989024458,9.800445306,9.281002874,10.2492445
0610039N19Rik,8.9830334205,8.2462686665,8.8341462235,9.426615594000001,8.4194533335,8.667083160499999,8.377680397999999,9.2079944195,8.927083197,8.320742394,8.590226703,8.212547999,8.4646822665,8.8934957435,8.5262073525,8.6112113355,8.6681611025,8.10562763,9.305744901,8.3562202465,7.775737716
0610039P13Rik,8.345124961,8.380919700666666,8.399125777333333,8.281109481,8.406023596666666,8.165437944,8.363240166,8.516478522,8.336396741,8.242718281666667,8.501173428,8.236327447333332,8.357581323666667,8.323972312333334,8.414664332666666,8.168968670333333,8.206768079666668,8.362548880833334,8.381365172,8.270631417333334,8.146278826666666
0610040B10Rik,7.338913687,7.376633808,7.481627147,7.155035198,7.525368735,7.127485455,7.396840118,7.387639005,7.492502173,7.31633434,7.429890179,7.155458073,7.222933723,7.13676261,7.182627085,7.363543342,7.466971237,7.328136957,7.345568911,7.036758173,7.111836747
0610040B21Rik,10.05433608,9.786250106,9.152883281,8.926843835,10.54004459,9.83662262,9.672418229,9.010908741,9.85399772,9.474510802,9.606500254,10.54280583,9.960320539,9.919710408,9.840803937,8.930095485,8.97101986,8.901422637,9.66140033,10.27090963,8.608169481
0610040J01Rik,8.799670559,7.364418621,8.18220023,8.31749895,7.787186301,8.252829492,7.444688758,8.009371846,7.677229788,7.386915504,7.811363295,7.218095924,7.451094534,7.807363349,7.486093332,7.795674826,7.356099956,7.7678962735,7.242733877,8.038148351,7.318466472
0610040O15Rik,15.34013418,15.779753,15.34013418,15.56183698,15.44774595,15.44774595,15.50097774,15.26148935,15.51273167,15.0116363,15.6218228,15.02172699,15.61015836,15.56183698,15.5717375,15.63228136,15.37015967,15.24304635,15.21252711,15.30181549,14.69605509
0610041B22Rik,9.749443824,10.28287213,9.887121108,9.634598163,10.22682082,10.46466836,9.780329938,9.781767231,9.838696836,10.21626695,9.784246481,10.38057746,9.993291232,9.847773324,9.700787072,9.666933824,10.05433608,9.8194890085,9.85399772,10.21342632,10.10792962
0610041D19Rik,7.6968121985,7.5516428225,7.6176874525,7.4060857165,7.518443158,7.235072948999999,7.586362468,7.631923282,7.8187120715,7.481277475000001,7.469724781,7.1700457005,7.4645338275,7.393106075,7.527985773500001,7.5135617425,7.475180184499999,7.513001637,7.5678575565,7.3874587195,7.164604062
0610041G09Rik,10.74946704,10.55554119,10.47153382,10.01037682,10.54280583,10.58119493,11.0937007,11.05403759,10.55996943,11.06347155,10.7106966,11.37877914,10.6660832,10.79421816,10.48536942,10.4988055,10.42596788,11.08217761,11.19134611,10.1772337,12.22837199
0610042C05Rik,8.443872586,8.048136772,8.383781165,7.768164313,8.090480791,7.568532099,8.150526855,8.18007273,7.907171573,7.862828171,8.299948921,8.023096556,8.068313226,8.024134403,8.085898432,8.042688173,8.17826138,8.203216544499998,7.98705963,7.773358346,7.71516761
0610042E07Rik,7.560872763,8.500094672,8.762043428,8.269591777,8.370562614,8.245603897,8.237486682,8.383177387,8.444237708,8.468255662,8.300295788,8.369610362,8.40855664,8.19219595,8.232064364,8.099086136,8.224189708,8.414204429,7.89314089,7.626685249,7.152320508
0610042G04Rik,6.729142333,6.619674648,7.256315184,6.725800663,7.235647515,6.888049259,7.322232152,6.779261409,6.708678361,6.667343058,6.964817591,6.927149575,6.679695134,6.982329254,6.954424545,6.894667938,6.927189445,6.891637597,6.754693494,6.891368855,6.779423249
0610042I15Rik,11.14896736,10.6463813,10.77955384,10.14087073,10.8316908,10.36971774,11.06890004,11.14327232,10.17315635,10.81981568,11.019705,10.9858599,10.78661884,10.88457761,11.02065756,10.46605965,10.7802383,11.10881856,10.9858599,10.65142674,10.88781354
0710001B24Rik,7.989813512,7.841522126,7.819097873,7.558404011,7.773799273,7.552627852,7.843454154,7.838698304,7.549742058,7.701267426,7.963480015,7.224446798,7.769113539,7.714229362,7.820890181,7.67016205,7.935410183,7.703803039,7.690603701,7.754585598,6.88121276
0710001C05Rik,7.144769059,7.450594126,6.947291602,6.850034723,7.774008246,7.595052116,7.087125989,7.154422715,6.534004096,7.352311429,6.888075523,7.567987849,7.277622785,7.01465851,7.05393076,6.454898145,6.861499891,6.970665004500001,6.758436782,7.367965816,6.70119244
0710001D07Rik,8.196394599,7.918862929,8.294384796,7.513690599,8.082791764,8.359856535,7.625011966,7.529828129,7.544888617,7.961375761,8.174306237,7.479917958,7.402777851,7.460501321,8.167849995,7.47460944,8.19219595,7.9878983275,8.1863428,7.934375823,7.523519972
0710001P09Rik,7.970738557,7.898652395,8.261240077,8.100277108,8.154612352,8.046317898,7.893881788,7.970962512,7.925339741,8.090761298,7.881779242,7.67654758,7.83888868,7.980548853,7.94522721,7.669346422,8.108618938,7.815184531,8.00397227,8.241475789,7.583122224
0710001P18Rik,10.3893714,10.44983416,11.40056874,10.48608843,10.23045239,10.88457761,10.63568597,10.54352097,10.12139543,10.80896038,10.41320827,11.13937283,11.06347155,10.87353617,11.02274149,10.68271053,10.74686546,10.58343066,10.44006163,10.14246723,11.563064
0710005M24Rik,6.910019857,6.956187721,6.733597829,6.661448443,6.807540673,6.693216733,6.912708212,6.82252302,7.187233857,6.916083402,6.783391707,6.761196496,6.720067787,6.768155625,6.892658597,6.707415243,6.692819921,6.829852346,6.758265747,6.717541027,6.685276149
0710007A14Rik,8.5934646285,8.5507623095,8.7086757305,8.392721814,8.628786207000001,8.3228904635,8.676047472,8.7419293145,8.477452271499999,8.5547931145,8.783816724,8.567568407500001,8.5504150275,8.564418435,8.577039085,8.396950761,8.4790099315,8.688463385750001,8.606361568,8.493767144,8.4624552265
0710007G10Rik,8.160115927,8.359254787,8.243440772,7.960107094,8.301196044,7.76935218,8.079319246,8.244307417,8.132156887,8.139638876,8.232957331,7.949433293,8.526192565,8.135017682,8.228638024,8.391863607,8.081617114,8.251754572,7.891572097,8.385812409,7.956447238
0710008K08Rik,10.17835777,10.02278813,10.4216243,10.13348714,10.17061204,10.24411916,10.17185977,10.23045239,10.31075426,10.25066727,10.45175257,10.15313969,10.27669164,10.32608766,10.11288974,10.456477,10.51639361,10.27197095,10.39334749,10.23943947,10.07011548
0910001A06Rik,8.994111508,8.735875303499999,8.288982335,8.903107796499999,8.3481798645,9.4190867515,8.9453731255,8.9916498455,8.9179822175,9.116586849,8.655416898,9.039631363,9.037948163500001,8.9718738955,9.0134745165,9.328058276,9.4772568795,8.87273795875,8.7201127965,8.992998287999999,9.376623911
0910001K20Rik,7.4167226915,7.577209835,7.308894990500001,7.269340286,7.2267888435,7.2263965945,7.23381513,7.229861812,7.118363649,7.3611418425,7.3470579485,7.359217605,7.4134393585,7.2448050980000005,7.2587153335,7.215604369,7.1200665125,7.41607145275,7.1439270515,7.078585218,7.30522195
0910001L09Rik,14.08336235,13.97589539,13.98277966,13.64360705,14.06777772,13.65469902,14.13916976,14.07545413,13.989922,14.26406684,14.22910854,14.36366934,13.88162509,13.96892874,14.09859325,13.9260178,14.1770078,13.93424943,14.12284961,13.91103365,13.93996517
1100001A21Rik,7.707509269,8.02621909,7.942950019,8.030581242,8.105326953,8.106794207,7.761402671,8.180436688,7.938678162,8.048136772,7.648799598,7.737193762,8.173039202,8.017637182,8.134399538,8.158595799,8.251313368,7.94720961,8.013293277,7.425675583,7.911526511
1100001D10Rik,11.89356709,11.96245733,11.58965954,11.69766298,11.69766298,11.65665374,11.68585495,11.80027118,11.69649002,11.92403698,11.84753907,11.92887548,11.57067728,11.70221041,11.88738146,11.46152749,11.44989052,12.247407765,11.88439214,11.2241381,11.5350486
1100001F19Rik,10.75980989,10.87960158,10.19106743,10.98033226,10.47298527,11.019705,10.83252143,10.64331836,10.5999072,10.92631855,10.58048539,10.97594443,10.9637937,10.96815411,10.65406224,10.53311248,10.5577534,10.905378305,10.35276135,10.95580668,11.12561156
1100001G20Rik,13.01636813,13.39084545,12.18664628,11.82921072,12.88023694,13.568036,11.69766298,11.96726494,11.47917423,12.73362569,11.70898337,12.73990989,12.2223198,11.93846048,12.07456551,10.35660125,11.18839805,11.808028405,11.4892709,12.11648617,12.5158064
1100001H23Rik,7.366346969,7.553360379,6.882650261,6.663652096,7.521421013,7.570066834,7.252403019,7.071132014,6.609667101,7.008240891,7.582351318,7.553360379,6.886483519,6.614064738,6.847407444,6.893426378,6.973401034,6.9979660085,6.84278309,6.786851422,7.644282205
